arxiv,title,journal,doi,year
1503.03290,"Search for supersymmetry in events containing a same-flavour opposite-sign dilepton pair, jets, and large missing transverse momentum in $\sqrt{s}=8$ TeV $pp$ collisions with the ATLAS detector",Eur. Phys. J. C 75 (2015) 318,10.1140/epjc/s10052-015-3518-2,2015
1611.05791,"Search for new phenomena in events containing a same-flavour opposite-sign dilepton pair, jets, and large missing transverse momentum in $\sqrt{s}=13$ TeV pp collisions with the ATLAS detector",Eur. Phys. J C 77 (2017) 144,10.1140/epjc/s10052-017-4700-5,2016
1805.11381,Search for new phenomena using the invariant mass distribution of same-flavour opposite-sign dilepton pairs in events with missing transverse momentum in $\sqrt{s}=13$ TeV $pp$ collisions with the ATLAS detector,Eur. Phys. J. C 78 (2018) 625,10.1140/epjc/s10052-018-6081-9,2018
1111.0080,Search for strong gravity signatures in same-sign dimuon final states using the ATLAS detector at the LHC,Phys. Lett. B 709 (2012) 322-340,10.1016/j.physletb.2012.02.049,2011
1308.4075,Search for microscopic black holes in a like-sign dimuon final state using large track multiplicity with the ATLAS detector,Phys. Rev. D 88 (2013) 072001,10.1103/PhysRevD.88.072001,2013
2305.02005,Search for pairs of muons with small displacements in $pp$ collisions at $\sqrt{s} = 13$ TeV with the ATLAS detector,Phys. Lett. B 846 (2023) 138172,10.1016/j.physletb.2023.138172,2023
2407.09168,Search for light neutral particles decaying promptly into collimated pairs of electrons or muons in $pp$ collisions at $\sqrt{s}$ = 13 TeV with the ATLAS detector,Eur. Phys. J. C 85 (2025) 335,10.1140/epjc/s10052-025-13916-5,2024
1801.06992,Search for High-Mass Resonances Decaying to $τν$ in $pp$ Collisions at $\sqrt{s}$ = 13 TeV with the ATLAS Detector,"Phys. Rev. Lett. 120, 161802 (2018)",10.1103/PhysRevLett.120.161802,2018
2402.16576,Search for high-mass resonances in final states with a $τ$-lepton and missing transverse momentum with the ATLAS detector,Phys. Rev. D 109 (2024) 112008,10.1103/PhysRevD.109.112008,2024
2011.10543,Search for trilepton resonances from chargino and neutralino pair production in $\sqrt{s}$ = 13 TeV $pp$ collisions with the ATLAS detector,"Phys. Rev. D 103, 112003 (2021)",10.1103/PhysRevD.103.112003,2020
2305.10894,Search for periodic signals in the dielectron and diphoton invariant mass spectra using 139 fb$^{-1}$ of $pp$ collisions at $\sqrt{s} =$ 13 TeV with the ATLAS detector,JHEP 10 (2023) 079,10.1007/JHEP10(2023)079,2023
2603.18099,A search for lepton-flavour violating $τ\to 3μ$ decays with the ATLAS detector,Phys. Lett. B 880 (2026) 140748,10.1016/j.physletb.2026.140748,2026
1108.5064,Search for a heavy Standard Model Higgs boson in the channel H-&gt;ZZ-&gt;llqq using the ATLAS detector,Phys.Lett.B 707 (2012) 27-45,10.1016/j.physletb.2011.11.056,2011
1203.0718,Search for new particles decaying to ZZ using final states with leptons and jets with the ATLAS detector in sqrt(s) = 7 Tev proton-proton collisions,Phys. Lett. B712 (2012) 331-350,10.1016/j.physletb.2012.05.020,2012
1409.6190,Search for resonant diboson production in the $\ell\ell q\bar{q}$ final state in pp collisions at $\sqrt{s} = 8$ TeV with the ATLAS detector,Eur. Phys. J. C (2015) 75:69,10.1140/epjc/s10052-015-3261-8,2014
1708.09638,Searches for heavy $ZZ$ and $ZW$ resonances in the $\ell\ell qq$ and $ννqq$ final states in $pp$ collisions at $\sqrt{s}=13$ TeV with the ATLAS detector,JHEP 03 (2018) 009,10.1007/JHEP03(2018)009,2017
1712.06386,Search for heavy $ZZ$ resonances in the $\ell^+\ell^-\ell^+\ell^-$ and $\ell^+\ell^-ν\barν$ final states using proton proton collisions at $\sqrt{s}= 13$ TeV with the ATLAS detector,Eur. Phys. J. C 78 (2018) 293,10.1140/epjc/s10052-018-5686-3,2017
2009.14791,Search for heavy resonances decaying into a pair of $Z$ bosons in the $\ell^+\ell^-\ell'^+\ell'^-$ and $\ell^+\ell^-ν\barν$ final states using 139 fb$^{-1}$ of proton-proton collisions at $\sqrt{s} = 13$ TeV with the ATLAS detector,Eur. Phys. J. C 81 (2021) 332,10.1140/epjc/s10052-021-09013-y,2020
1204.1648,Search for resonant WZ production in the WZ to l nu l' l' channel in sqrt(s) = 7 TeV pp collisions with the ATLAS detector,Phys.Rev. D85 (2012) 112012,10.1103/PhysRevD.85.112012,2012
1406.4456,Search for WZ resonances in the fully leptonic channel using pp collisions at sqrt(s) = 8 TeV with the ATLAS detector,Phys. Lett. B 737 (2014) 223,10.1016/j.physletb.2014.08.039,2014
1806.01532,Search for resonant $WZ$ production in the fully leptonic final state in proton-proton collisions at $\sqrt{s} = 13$ TeV with the ATLAS detector,Phys. Lett. B 787 (2018) 68,10.1016/j.physletb.2018.10.021,2018
2207.03925,Search for resonant $WZ \rightarrow \ellν\ell^{\prime}\ell^{\prime}$ production in proton$-$proton collisions at $\mathbf{\sqrt{s} = 13}$ TeV with the ATLAS detector,Eur. Phys. J. C 83 (2023) 663,10.1140/epjc/s10052-023-11437-7,2022
1305.0125,Search for resonant diboson production in the lvjj decay channels with the ATLAS detector at 7 TeV,"Phys. Rev. D 87, 112006 (2013)",10.1103/PhysRevD.87.112006,2013
1503.04677,"Search for production of $WW/WZ$ resonances decaying to a lepton, neutrino and jets in $pp$ collisions at $\sqrt{s}$ = 8 TeV with the ATLAS detector",Eur. Phys. J. C (2015) 75:209,10.1140/epjc/s10052-015-3425-6,2015
1710.07235,Search for $WW/WZ$ resonance production in $\ell νqq$ final states in $pp$ collisions at $\sqrt{s} =$ 13 TeV with the ATLAS detector,JHEP 03 (2018) 042,10.1007/JHEP03(2018)042,2017
2004.14636,Search for heavy diboson resonances in semileptonic final states in $pp$ collisions at $\sqrt{s}=13$ TeV with the ATLAS detector,Eur. Phys. J. C 80 (2020) 1165,10.1140/epjc/s10052-020-08554-y,2020
1205.6744,Search for a Standard Model Higgs boson in the H -&gt; ZZ -&gt; llnunu decay channel using 4.7 fb-1 of sqrt(s) = 7 TeV data with the ATLAS detector,Phys. Lett. B 717 (2012) 29-48,10.1016/j.physletb.2012.09.016,2012
1206.2443,Search for a Standard Model Higgs boson in the mass range 200-600 GeV in the H-&gt;ZZ-&gt;llqq decay channel,Phys.Lett. B 717 (2012) 70-88,10.1016/j.physletb.2012.09.020,2012
1507.05930,"Search for an additional, heavy Higgs boson in the $H\rightarrow ZZ$ decay channel at $\sqrt{s}$ = 8 TeV in $pp$ collision data with the ATLAS detector",Eur. Phys. J. C76 (2016) 45,10.1140/epjc/s10052-015-3820-z,2015
1509.00389,Search for a high-mass Higgs boson decaying to a $W$ boson pair in $pp$ collisions at $\sqrt{s} = 8$ TeV with the ATLAS detector,JHEP 01 (2016) 032,10.1007/JHEP01(2016)032,2015
1506.00962,Search for high-mass diboson resonances with boson-tagged jets in proton-proton collisions at $\sqrt{s}$ = 8 TeV with the ATLAS detector,JHEP 12 (2015) 55,10.1007/JHEP12(2015)055,2015
1708.04445,Search for diboson resonances with boson-tagged jets in $pp$ collisions at $\sqrt{s}=13$ TeV with the ATLAS detector,Phys. Lett. B 777 (2017) 91,10.1016/j.physletb.2017.12.011,2017
1906.08589,Search for diboson resonances in hadronic final states in 139 fb$^{-1}$ of $pp$ collisions at $\sqrt{s} = 13$ TeV with the ATLAS detector,JHEP 09 (2019) 091,10.1007/JHEP09(2019)091,2019
1606.04833,Searches for heavy diboson resonances in $pp$ collisions at $\sqrt{s}=13$ TeV with the ATLAS detector,JHEP 09 (2016) 173,10.1007/JHEP09(2016)173,2016
1710.01123,Search for heavy resonances decaying into $WW$ in the $eνμν$ final state in $pp$ collisions at $\sqrt{s}=13$ TeV with the ATLAS detector,Eur. Phys. J. C 78 (2018) 24,10.1140/epjc/s10052-017-5491-4,2017
1610.05088,Search for triboson $W^{\pm}W^{\pm}W^{\mp}$ production in $pp$ collisions at $\sqrt{s}=8$ TeV with the ATLAS detector,Eur. Phys. J. C 77 (2017) 141,10.1140/epjc/s10052-017-4692-1,2016
1503.08089,Search for a new resonance decaying to a $W$ or $Z$ boson and a Higgs boson in the $\ell \ell/ \ell ν/ νν+ b \bar{b}$ final states with the ATLAS Detector,Eur. Phys. J. C (2015) 75: 263,10.1140/epjc/s10052-015-3474-x,2015
