arxiv,abstract
1512.05910,"A search is performed for the production of high-mass resonances decaying into a photon and a jet in 3.2 fb$^{-1}$ of proton--proton collisions at a centre-of-mass energy of $\sqrt{s} = 13$ TeV collected by the ATLAS detector at the Large Hadron Collider. Selected events have an isolated photon and a jet, each with transverse momentum above 150 GeV. No significant deviation of the $γ+$jet invariant mass distribution from the background-only hypothesis is found. Limits are set at 95% confidence level on the cross sections of generic Gaussian-shaped signals and of a few benchmark phenomena beyond the Standard Model: excited quarks with vector-like couplings to the Standard Model particles, and non-thermal quantum black holes in two models of extra spatial dimensions. The minimum excluded visible cross sections for Gaussian-shaped resonances with width-to-mass ratios of 2% decrease from about 6 fb for a mass of 1.5 TeV to about 0.8 fb for a mass of 5 TeV. The minimum excluded visible cross sections for Gaussian-shaped resonances with width-to-mass ratios of 15% decrease from about 50 fb for a mass of 1.5 TeV to about 1.0 fb for a mass of 5 TeV. Excited quarks are excluded below masses of 4.4 TeV, and non-thermal quantum black holes are excluded below masses of 3.8 (6.2) TeV for Randall--Sundrum (Arkani-Hamed--Dimopoulous--Dvali) models with one (six) extra dimensions."
1709.10440,"A search is performed for new phenomena in events having a photon with high transverse momentum and a jet collected in 36.7 fb$^{-1}$ of proton-proton collisions at a centre-of-mass energy of $\sqrt{s}$ = 13 TeV recorded with the ATLAS detector at the Large Hadron Collider. The invariant mass distribution of the leading photon and jet is examined to look for the resonant production of new particles or the presence of new high-mass states beyond the Standard Model. No significant deviation from the background-only hypothesis is observed and cross-section limits for generic Gaussian-shaped resonances are extracted. Excited quarks hypothesized in quark compositeness models and high-mass states predicted in quantum black hole models with extra dimensions are also examined in the analysis. The observed data exclude, at 95% confidence level, the mass range below 5.3 TeV for excited quarks and 7.1 TeV (4.4 TeV) for quantum black holes in the Arkani-Hamed-Dimopoulos-Dvali (Randall-Sundrum) model with six (one) extra dimensions."
1804.03496,"Searches for dijet resonances with sub-TeV masses using the ATLAS detector at the Large Hadron Collider can be statistically limited by the bandwidth available to inclusive single-jet triggers, whose data-collection rates at low transverse momentum are much lower than the rate from Standard Model multijet production. This Letter describes a new search for dijet resonances where this limitation is overcome by recording only the event information calculated by the jet trigger algorithms, thereby allowing much higher event rates with reduced storage needs. The search targets low-mass dijet resonances in the range 450-1800 GeV. The analyzed dataset has an integrated luminosity of up to 29.3 fb$^{-1}$ and was recorded at a center-of-mass energy of 13 TeV. No excesses are found; limits are set on Gaussian-shaped contributions to the dijet mass distribution from new particles and on a model of dark-matter particles with axial-vector couplings to quarks."
2509.01219,"This article reports on a search for dijet resonances using $132$ fb$^{-1}$ of $pp$ collision data recorded at $\sqrt{s} = 13$ TeV by the ATLAS detector at the Large Hadron Collider. The search is performed solely on jets reconstructed within the ATLAS trigger to overcome bandwidth limitations imposed on conventional single-jet triggers, which would otherwise reject data from decays of sub-TeV dijet resonances. Collision events with two jets satisfying transverse momentum thresholds of $p_{\textrm{T}} \ge 85$ GeV and jet rapidity separation of $|y^{*}|&lt;0.6$ are analysed for dijet resonances with invariant masses from $375$ to $1800$ GeV. A data-driven background estimate is used to model the dijet mass distribution from multijet processes. No significant excess above the expected background is observed. Upper limits are set at $95\%$ confidence level on coupling values for a benchmark leptophobic axial-vector $Z^{\prime}$ model and on the production cross-section for a new resonance contributing a Gaussian-distributed line-shape to the dijet mass distribution."
2606.03222,"A search for dijet resonances in the mass range of 100-250 GeV is presented using proton-proton collision data recorded by the ATLAS experiment at the Large Hadron Collider at a centre-of-mass energy of 13 TeV. Conventional searches for hadronic resonances in the sub-TeV regime are heavily constrained by high jet trigger thresholds required to manage the overwhelming rate of Standard Model multijet background processes described by quantum chromodynamics. To overcome this limitation, this analysis uses a novel strategy that separately reconstructs multiple proton-proton interactions per bunch crossing, known as pile-up collisions. The dataset was collected by the ATLAS experiment using single-electron and single-muon triggers in 2016-2018 corresponding to an integrated luminosity of 1.30 pb$^{-1}$, which represents the effective luminosity of pile-up collisions recorded alongside triggered events. This constitutes the first application of pile-up collisions to probe low dijet mass scales. No significant excess is observed above the background expectation and exclusion limits are set for a generic Gaussian model and a simplified dark matter model featuring an axial-vector mediator with coupling to quarks."
1801.08769,"This Letter presents a search for new light resonances decaying to pairs of quarks and produced in association with a high-$p_{\textrm{T}}$ photon or jet. The dataset consists of proton-proton collisions with an integrated luminosity of 36.1 fb$^{-1}$ at a centre-of-mass energy of $\sqrt{s}=13$ TeV recorded by the ATLAS detector at the Large Hadron Collider. Resonance candidates are identified as massive large-radius jets with substructure consistent with a particle decaying into a quark pair. The mass spectrum of the candidates is examined for local excesses above background. No evidence of a new resonance is observed in the data, which are used to exclude the production of a lepto-phobic axial-vector $Z^\prime$ boson."
1901.10917,"A search is performed for localised excesses in dijet mass distributions of low-dijet-mass events produced in association with a high transverse energy photon. The search uses up to 79.8 fb$^{-1}$ of LHC proton-proton collisions collected by the ATLAS experiment at a centre-of-mass energy of 13 TeV during 2015-2017. Two variants are presented: one which makes no jet flavour requirements and one which requires both jets to be tagged as $b$-jets. The observed mass distributions are consistent with multi-jet processes in the Standard Model. The data are used to set upper limits on the production cross-section for a benchmark $Z^\prime$ model and, separately, on generic Gaussian-shape contributions to the mass distributions, extending the current ATLAS constraints on dijet resonances to the mass range between 225 and 1100 GeV."
2403.08547,"A search is performed for localized excesses in the low-mass dijet invariant mass distribution, targeting a hypothetical new particle decaying into two jets and produced in association with either a high transverse momentum photon or a jet. The search uses the full Run 2 data sample from LHC proton-proton collisions collected by the ATLAS experiment at a center-of-mass energy of 13 TeV during 2015-2018. Two variants of the search are presented for each type of initial-state radiation: one that makes no jet flavor requirements and one that requires both of the jets to have been identified as containing $b$-hadrons. No excess is observed relative to the Standard Model prediction, and the data are used to set upper limits on the production cross-section for a benchmark $Z'$ model and, separately, for generic, beyond the Standard Model scenarios which might produce a Gaussian-shaped contribution to dijet invariant mass distributions. The results extend the current constraints on dijet resonances to the mass range between 200 and 650 GeV."
1603.08791,"Searches for high-mass resonances in the dijet invariant mass spectrum with one or two jets identified as $b$-jets are performed using an integrated luminosity of $3.2$ fb$^{-1}$ of proton--proton collisions with a centre-of-mass energy of $\sqrt{s}=13$ TeV recorded by the ATLAS detector at the Large Hadron Collider. No evidence of anomalous phenomena is observed in the data, which are used to exclude, at 95% credibility level, excited $b^{*}$ quarks with masses from 1.1 TeV to 2.1 TeV and leptophobic $Z'$ bosons with masses from 1.1 TeV to 1.5 TeV. Contributions of a Gaussian signal shape with effective cross sections ranging from approximately 0.4 to 0.001 pb are also excluded in the mass range 1.5-5.0 TeV."
1805.09299,"A search for new resonances decaying into jets containing b-hadrons in $pp$ collisions with the ATLAS detector at the LHC is presented in the dijet mass range from 0.57 TeV to 7 TeV. The dataset corresponds to an integrated luminosity of up to 36.1 fb$^{-1}$ collected in 2015 and 2016 at $\sqrt{s} = 13$ TeV. No evidence of a significant excess of events above the smooth background shape is found. Upper cross-section limits and lower limits on the corresponding signal mass parameters for several types of signal hypotheses are provided at 95% CL. In addition, 95% CL upper limits are set on the cross-sections for new processes that would produce Gaussian-shaped signals in the di-b-jet mass distributions."
2108.09059,A search optimized for new heavy particles decaying to two $b$-quarks and produced in association with additional $b$-quarks is reported. The sensitivity is improved by $b$-tagging at least one lower-$p_{\rm{T}}$ jet in addition to the two highest-$p_{\rm{T}}$ jets. The data used in this search correspond to an integrated luminosity of 103 $\text{fb}^{-1}$ collected with a dedicated trijet trigger during the 2017 and 2018 $\sqrt{s} = 13$ TeV proton-proton collision runs with the ATLAS detector at the LHC. The search looks for resonant peaks in the $b$-tagged dijet invariant mass spectrum over a smoothly falling background. The background is estimated with an innovative data-driven method based on orthonormal functions. The observed $b$-tagged dijet invariant mass spectrum is compatible with the background-only hypothesis. Upper limits at 95% confidence level on a heavy vector-boson production cross section times branching ratio to a pair of $b$-quarks are derived.
1110.2693,"A search for pair-produced scalar particles decaying to a four-jet final state is presented. The analysis is performed using an integrated luminosity of 34 pb^-1 recorded by the ATLAS detector in 2010. No deviation from the Standard Model is observed. For a scalar mass of 100 GeV (190 GeV) the limit on the scalar gluon pair production cross section at 95% confidence level is 1 nb (0.28 nb). When these results are interpreted as mass limits, scalar-gluons (hyperpions) with masses of 100 to 185 GeV (100 to 155 GeV) are excluded at 95% confidence level with the exception of a mass window of width about 5 GeV (15 GeV) around 140 GeV."
1210.4826,"A search for pair-produced massive coloured scalar particles decaying to a four-jet final state is performed by the ATLAS experiment at the LHC in proton-proton collisions at sqrt(s) = 7 TeV. The analysed data sample corresponds to an integrated luminosity of 4.6 /fb. No deviation from the Standard Model is observed in the invariant mass spectrum of the two-jet pairs. A limit on the scalar gluon pair production cross-section of 70 pb (10 pb) is obtained at the 95% confidence level for a scalar gluon mass of 150 GeV (350 GeV). Interpreting these results as mass limits on scalar gluons, masses ranging from 150 GeV to 287 GeV are excluded at the 95% confidence level."
1710.07171,"A search for massive coloured resonances which are pair-produced and decay into two jets is presented. The analysis uses 36.7 fb$^{-1}$ of $\sqrt{s}=$ 13 TeV pp collision data recorded by the ATLAS experiment at the LHC in 2015 and 2016. No significant deviation from the background prediction is observed. Results are interpreted in a SUSY simplified model where the lightest supersymmetric particle is the top squark, $\tilde{t}$, which decays promptly into two quarks through $R$-parity-violating couplings. Top squarks with masses in the range 100 GeV &lt; $m_{\tilde{t}}$ &lt; 410 GeV are excluded at 95% confidence level. If the decay is into a $b$-quark and a light quark, a dedicated selection requiring two $b$-tags is used to exclude masses in the ranges 100 GeV &lt; $m_{\tilde{t}}$ &lt; 470 GeV and 480 GeV &lt; $m_{\tilde{t}}$ &lt; 610 GeV. Additional limits are set on the pair-production of massive colour-octet resonances."
1210.4813,"A search is conducted for hadronic three-body decays of a new massive coloured particle in sqrt(s) = 7 TeV pp collisions at the LHC using an integrated luminosity of 4.6/fb collected by the ATLAS detector. Supersymmetric gluino pair production in the context of a model with R-parity violation is used as a benchmark scenario. The analysis is divided into two search channels, each optimised separately for their sensitivity to high-mass and low-mass gluino production. The first search channel uses a stringent selection on the transverse momentum of the six leading jets and is performed as a counting experiment. The second search channel focuses on low-mass gluinos produced with a large boost. Large-radius jets are selected and the invariant mass of each of the two leading jets is used as a discriminant between the signal and the background. The results are found to be consistent with Standard Model expectations and limits are set on the allowed gluino mass."
1804.03568,"Results of a search for gluino pair production with subsequent R-parity-violating decays to quarks are presented. This search uses 36.1 fb$^{-1}$ of data collected by the ATLAS detector in proton-proton collisions with a center-of-mass energy of $\sqrt{s} = 13$ TeV at the LHC. The analysis is performed using requirements on the number of jets and the number of jets tagged as containing a $b$-hadron as well as a topological observable formed by the scalar sum of masses of large-radius jets in the event. No significant excess above the expected Standard Model background is observed. Limits are set on the production of gluinos in models with the R-parity-violating decays of either the gluino itself (direct decay) or the neutralino produced in the R-parity-conserving gluino decay (cascade decay). In the gluino cascade decay model, gluinos with masses below 1850 GeV are excluded for 1000 GeV neutralino mass. For the gluino direct decay model, the 95% confidence level upper limit on the cross section times branching ratio varies between 0.80 fb at $m_{\tilde{g}}$ = 900 GeV and 0.011 fb at $m_{\tilde{g}}$ = 1800 GeV."
2004.01678,"A search for Higgs boson decays into a $Z$ boson and a light resonance in two-lepton plus jet events is performed, using a $pp$ collision dataset with an integrated luminosity of 139 fb$^{-1}$ collected at $\sqrt{s}=13$ TeV by the ATLAS experiment at the CERN LHC. The resonance considered is a light boson with a mass below 4 GeV from a possible extended scalar sector, or a charmonium state. Multivariate discriminants are used for the event selection and for evaluating the mass of the light resonance. No excess of events above the expected background is found. Observed (expected) 95$\% $ confidence-level upper limits are set on the Higgs boson production cross section times branching fraction to a $Z$ boson and the signal resonance, with values in the range 17 pb to 340 pb ($16^{+6}_{-5}$ pb to $320^{+130}_{-90}$ pb) for the different light spin-0 boson mass and branching fraction hypotheses, and with values of 110 pb and 100 pb ($100^{+40}_{-30}$ pb and $100^{+40}_{-30}$ pb) for the $η_c$ and $J/ψ$ hypotheses, respectively."
2411.16361,"A search for decays of the Higgs boson into a $Z$ boson and a light resonance, with a mass of 0.5-3.5 GeV, is performed using the full 140 fb$^{-1}$ dataset of 13 TeV proton-proton collisions recorded by the ATLAS detector during Run 2 of the LHC. Leptonic decays of the $Z$ boson and hadronic decays of the light resonance are considered. The resonance can be interpreted as a $J/ψ$ or $η_c$ meson, an axion-like particle, or a light pseudoscalar in two-Higgs-doublet models. Due to its low mass, it would be produced with high boost and reconstructed as a single small-radius jet of hadrons. A neural network is used to correct the Monte Carlo simulation of the background in a data-driven way. Two additional neural networks are used to distinguish signal from background. A binned profile-likelihood fit is performed on the final-state invariant mass distribution. No significant excess of events relative to the expected background is observed, and upper limits at 95% confidence level are set on the Higgs boson's branching fraction to a $Z$ boson and a light resonance. The exclusion limit is ~10% for the lower masses, and increases for higher masses. Upper limits on the effective coupling $C^\text{eff}_{ZH}/Λ$ of an axion-like particle to a Higgs boson and $Z$ boson are also set at 95% confidence level, and range from 0.9 to 2 TeV$^{-1}$."
2002.11325,"A search for dijet resonances in events with at least one isolated charged lepton is performed using $139~{\text{fb}}^{-1}$ of $\sqrt{s}=13$ TeV proton-proton collision data recorded by the ATLAS detector at the LHC. The dijet invariant-mass ($m_{jj}$) distribution constructed from events with at least one isolated electron or muon is searched in the region $0.22 &lt; m_{jj} &lt; 6.3$ TeV for excesses above a smoothly falling background from Standard Model processes. Triggering based on the presence of a lepton in the event reduces limitations imposed by minimum transverse momentum thresholds for triggering on jets. This approach allows smaller dijet invariant masses to be probed than in inclusive dijet searches, targeting a variety of new-physics models, for example ones in which a new state is produced in association with a leptonically decaying $W$ or $Z$ boson. No statistically significant deviation from the Standard Model background hypothesis is found. Limits on contributions from generic Gaussian signals with widths ranging from that determined by the detector resolution up to 15% of the resonance mass are obtained for dijet invariant masses ranging from 0.25 TeV to 6 TeV. Limits are set also in the context of several scenarios beyond the Standard Model, such as the Sequential Standard Model, a technicolor model, a charged Higgs boson model and a simplified Dark Matter model."
2311.03944,"This paper presents a search for a new $Z^\prime$ resonance decaying into a pair of dark quarks which hadronise into dark hadrons before promptly decaying back as Standard Model particles. This analysis is based on proton-proton collision data recorded at $\sqrt{s}=13$ TeV with the ATLAS detector at the Large Hadron Collider between 2015 and 2018, corresponding to an integrated luminosity of 139 fb$^{-1}$. After selecting events containing large-radius jets with high track multiplicity, the invariant mass distribution of the two highest-transverse-momentum jets is scanned to look for an excess above a data-driven estimate of the Standard Model multijet background. No significant excess of events is observed and the results are thus used to set 95 % confidence-level upper limits on the production cross-section times branching ratio of the $Z^\prime$ to dark quarks as a function of the $Z^\prime$ mass for various dark-quark scenarios."
2408.00049,"Many extensions of the Standard Model, including those with dark matter particles, propose new mediator particles that decay into hadrons. This paper presents a search for such low mass narrow resonances decaying into hadrons using 140 fb$^{-1}$ of proton-proton collision data recorded with the ATLAS detector at a centre-of-mass energy of 13 TeV. The resonances are searched for in the invariant mass spectrum of large-radius jets with two-pronged substructure that are recoiling against an energetic photon from initial state radiation, which is used as a trigger to circumvent limitations on the maximum data recording rate. This technique enables the search for boosted hadronically decaying resonances in the mass range 20-100 GeV hitherto unprobed by the ATLAS Collaboration. The observed data are found to agree with Standard Model predictions and 95% confidence level upper limits are set on the coupling of a hypothetical new spin-1 $Z'$ resonance with Standard Model quarks as a function of the assumed $Z'$-boson mass in the range between 20 and 200 GeV."
1202.1414,"A search for the Standard Model Higgs boson is performed in the diphoton decay channel. The data used corresponds to an integrated luminosity of 4.9 fb-1 collected with the ATLAS detector at the Large Hadron Collider in proton-proton collisions at a center-of-mass energy of sqrt(s) = 7 TeV. In the diphoton mass range 110-150 GeV, the largest excess with respect to the background-only hypothesis is observed at 126.5 GeV, with a local significance of 2.8 standard deviations. Taking the look-elsewhere effect into account in the range 110-150 GeV, this significance becomes 1.5 standard deviations. The Standard Model Higgs boson is excluded at 95% confidence level in the mass ranges of 113-115 GeV and 134.5-136 GeV."
1205.0701,"A search for a fermiophobic Higgs boson using diphoton events produced in proton-proton collisions at a centre-of-mass energy of sqrt(s) = 7 TeV is performed using data corresponding to an integrated luminosity of 4.9/fb collected by the ATLAS experiment at the Large Hadron Collider. A specific benchmark model is considered where all the fermion couplings to the Higgs boson are set to zero and the bosonic couplings are kept at the Standard Model values (fermiophobic Higgs model). The largest excess with respect to the background-only hypothesis is found at 125.5 GeV, with a local significance of 2.9 standard deviations, which reduces to 1.6 standard deviations when taking into account the look-elsewhere effect. The data exclude the fermiophobic Higgs model in the ranges 110.0 - 118.0 GeV and 119.5 - 121.0 GeV at 95% confidence level."
1407.6583,"A search for scalar particles decaying via narrow resonances into two photons in the mass range $65-600$ GeV is performed using 20.3 fb$^{-1}$ of $\sqrt{s}$ = 8 TeV $pp$ collision data collected with the ATLAS detector at the Large Hadron Collider. The recently discovered Higgs boson is treated as a background. No significant evidence for an additional signal is observed. The results are presented as limits at the 95 % confidence level on the production cross-section of a scalar boson times branching ratio into two photons, in a fiducial volume where the reconstruction efficiency is approximately independent of the event topology. The upper limits set extend over a considerably wider mass range than previous searches."
1504.05511,"This article describes a search for high-mass resonances decaying to a pair of photons using a sample of $20.3$ fb$^{-1}$ of $pp$ collisions at $\sqrt{s}=8$ TeV recorded with the ATLAS detector at the Large Hadron Collider. The data are found to be in agreement with the Standard Model prediction, and limits are reported in the framework of the Randall-Sundrum model. This theory leads to the prediction of graviton states, the lightest of which could be observed at the Large Hadron Collider. A lower limit of $2.66$ ($1.41$) TeV at 95% confidence level is set on the mass of the lightest graviton for couplings of $k/\overline{M}_{\mathrm{Pl}} = 0.1$ ($0.01$)."
1606.03833,"Searches for new resonances decaying into two photons in the ATLAS experiment at the CERN Large Hadron Collider are described. The analysis is based on proton--proton collision data corresponding to an integrated luminosity of 3.2 fb$^{-1}$ at $\sqrt{s} = 13$ TeV recorded in 2015. Two searches are performed, one targeted at a spin-2 particle of mass larger than 500 GeV, using Randall--Sundrum graviton states as a benchmark model, and one optimized for a spin-0 particle of mass larger than 200 GeV. Varying both the mass and the decay width, the most significant deviation from the background-only hypothesis is observed at a diphoton invariant mass around 750 GeV with local significances of 3.8 and 3.9 standard deviations in the searches optimized for a spin-2 and spin-0 particle, respectively. The global significances are estimated to be 2.1 standard deviations for both analyses. The consistency between the data collected at 13 TeV and 8 TeV is also evaluated. Limits on the production cross section times branching ratio to two photons for the two resonance types are reported."
1707.04147,"Searches for new phenomena in high-mass diphoton final states with the ATLAS experiment at the LHC are presented. The analysis is based on $pp$ collision data corresponding to an integrated luminosity of 36.7 fb$^{-1}$ at a centre-of-mass energy $\sqrt{s}=13$ TeV recorded in 2015 and 2016. Searches are performed for resonances with spin 0, as predicted by theories with an extended Higgs sector, and for resonances with spin 2, using a warped extra-dimension model as a benchmark model, as well as for non-resonant signals, assuming a large extra-dimension scenario. No significant deviation from the Standard Model is observed. Upper limits are placed on the production cross section times branching ratio to two photons as a function of the resonance mass. In addition, lower limits are set on the ultraviolet cutoff scale in the large extra-dimensions model."
2102.13405,"Searches for new resonances in the diphoton final state, with spin 0 as predicted by theories with an extended Higgs sector and with spin 2 using a warped extra-dimension benchmark model, are presented using 139 fb$^{-1}$ of $\sqrt{s} = $ 13 TeV $pp$ collision data collected by the ATLAS experiment at the LHC. No significant deviation from the Standard Model is observed and upper limits are placed on the production cross-section times branching ratio to two photons as a function of the resonance mass."
2211.04172,"A search for diphoton resonances in the mass range between 10 and 70 GeV with the ATLAS experiment at the Large Hadron Collider (LHC) is presented. The analysis is based on $pp$ collision data corresponding to an integrated luminosity of 138 fb$^{-1}$ at a centre-of-mass energy of 13 TeV recorded from 2015 to 2018. Previous searches for diphoton resonances at the LHC have explored masses down to 65 GeV, finding no evidence of new particles. This search exploits the particular kinematics of events with pairs of closely spaced photons reconstructed in the detector, allowing examination of invariant masses down to 10 GeV. The presented strategy covers a region previously unexplored at hadron colliders because of the experimental challenges of recording low-energy photons and estimating the backgrounds. No significant excess is observed and the reported limits provide the strongest bound on promptly decaying axion-like particles coupling to gluons and photons for masses between 10 and 70 GeV."
